"Source","Target"
"DC1863","DC1876"
"DC1863","DC2174"
"DC1866","DC2301"
"DC1866","DC2030"
"DC1866","DC2359"
"DC1868","DC1931"
"DC1869","DC2481"
"DC1872","DC2236"
"DC1873","DC2194"
"DC1878","DC1963"
"DC1880","DC2005"
"DC2134","DC2173"
"DC2148","DC2113"
"DC2162","DC2202"
"DC2167","DC2459"
"DC2167","DC2303"
"DC2174","DC2314"
"DC2175","DC2282"
"DC2176","DC2309"
"DC2176","DC2509"
"DC2177","DC0844"
"DC2177","DC2051"
"DC2186","DC2156"
"DC2214","DC2078"
"DC2218","DC2046"
"DC2218","DC2488"
"DC2222","DC2463"
"DC2225","DC2027"
"DC2267","DC2349"
"DC2269","DC2388"
"DC2275","DC2390"
"DC2306","DC2334"
"DC2351","DC0528"
"DC2352","DC2013"
"DC2354","DC1973"
"DC2356","DC2168"
"DC0280","DC2313"
"DC2086","DC2229"
"DC2251","DC2249"
"DC2298","DC2380"
"DC2301","DC2401"
"DC2301","DC2120"
"DC2318","DC2080"
"DC2319","DC2257"
"DC2319","DC2400"
"DC2435","DC1958"
"DC2314","DC2166"
"DC2346","DC2476"
"DC2311","DC2455"
"DC2313","DC1637"
"DC2308","DC2234"
"DC2327","DC2151"
"DC0066","DC2402"
"DC2315","DC1988"
"DC2324","DC2000"
"DC2322","DC2332"
"DC2483","DC2110"
"DC2483","DC1944"
"DC2332","DC2407"
"DC2398","DC0601"
"DC2347","DC2098"
"DC2408","DC2072"
"DC2487","DC2092"
"DC2273","DC2169"
"DC2242","DC2108"
"DC1839","DC2252"
"DC2258","DC1823"
"DC2426","DC1997"
"DC2419","DC2019"
"DC0161","DC1951"
"DC2425","DC1975"
"DC2425","DC1938"
"DC2477","DC2379"
"DC2203","DC0727"
"DC2203","DC2201"
"DC2471","DC2232"
"DC2491","DC2377"
"DC2424","DC2188"
"DC2138","DC2276"
"DC0285","DC0528"
"DC0352","DC2160"
"DC2305","DC2048"
"DC2250","DC1909"
"DC1993","DC2226"
"DC2013","DC2463"
"DC0413","DC2478"
"DC0413","DC2472"
"DC0413","DC1704"
"DC2081","DC2367"
"DC2270","DC1884"
"DC0327","DC2012"
"DC0327","DC1650"
"DC2090","DC2042"
"DC2097","DC2183"
"DC1889","DC2085"
"DC2083","DC2110"
"DC2237","DC2071"
"DC2254","DC2028"
"DC2254","DC2367"
"DC2257","DC2163"
"DC2248","DC2127"
"DC0675","DC2060"
"DC2241","DC1960"
"DC2047","DC2215"
"DC1934","DC1680"
"DC2238","DC1944"
"DC2461","DC2161"
"DC2080","DC2382"
"DC1949","DC2184"
"DC1949","DC2043"
"DC0553","DC2164"
"DC2462","DC2204"
"DC0508","DC2155"
"DC0415","DC2443"
"DC0415","DC2371"
"DC2192","DC1867"
"DC1905","DC2142"
"DC1905","DC1914"
"DC2468","DC2185"
"DC0622","DC1705"
"DC2325","DC2393"
"DC0528","DC1907"
"DC2040","DC2053"
"DC2259","DC2372"
"DC2296","DC2263"
"DC2041","DC2400"
"DC2198","DC2472"
"DC2233","DC1989"
"DC2114","DC1919"
"DC2263","DC2345"
"DC2128","DC1801"
"DC2196","DC2512"
"DC2497","DC2157"
"DC1835","DC2466"
"DC2017","DC1472"
"DC2396","DC2415"
"DC1257","DC2099"
"DC1249","DC2363"
"DC2416","DC1649"
"DC2410","DC2215"
"DC2411","DC2052"
"DC2395","DC2169"
"DC2395","DC2512"
"DC2125","DC2107"
"DC0968","DC2170"
"DC0844","DC2067"
"DC0844","DC2417"
"DC2197","DC1968"
"DC1995","DC2466"
"DC1955","DC2157"
"DC2266","DC1973"
"DC2093","DC1884"
"DC2284","DC2281"
"DC2417","DC2292"
"DC2077","DC1172"
"DC2077","DC1928"
"DC2126","DC2112"
"DC2455","DC1387"
"DC2027","DC1923"
"DC2020","DC1957"
"DC2421","DC2039"
"DC2389","DC1997"
"DC2287","DC2465"
"DC2372","DC1476"
"DC2372","DC1704"
"DC2304","DC2056"
"DC2415","DC2450"
"DC2336","DC1893"
"DC1915","DC2460"
"DC2005","DC1650"
"DC2031","DC2464"
"DC2278","DC2039"
"DC2278","DC2294"
"DC1975","DC1897"
"DC2187","DC2066"
"DC1992","DC2136"
"DC2064","DC2485"
"DC1917","DC2361"
"DC2289","DC1908"
"DC2096","DC1648"
"DC2190","DC2070"
"DC2054","DC2369"
"DC1926","DC2268"
"DC1947","DC2496"
"DC1947","DC2231"
"DC2443","DC1980"
"DC1911","DC1475"
"DC2030","DC1912"
"DC2508","DC2024"
"DC1918","DC2144"
"DC1912","DC2139"
"DC2358","DC2290"
"DC1945","DC2144"
"DC2265","DC1965"
"DC2265","DC2058"
"DC2445","DC1929"
"DC2444","DC2111"
"DC2016","DC1991"
"DC1964","DC2180"
"DC2397","DC2418"
"DC1358","DC1938"
"DC1471","DC2200"
"DC1389","DC2341"
"DC2062","DC2272"
"DC2195","DC2286"
"DC2100","DC2465"
"DC2469","DC1702"
"DC2469","DC2501"
"DC2344","DC2159"
"DC2073","DC1944"
"DC1352","DC1931"
"DC1355","DC1703"
"DC2460","DC2361"
"DC2493","DC2446"
"DC1472","DC1965"
"DC2456","DC2107"
"DC2119","DC1698"
"DC2388","DC2375"
"DC2359","DC1904"
"DC2436","DC2014"
"DC2012","DC1921"
"DC2224","DC2202"
"DC2475","DC1983"
"DC1967","DC2361"
"DC2039","DC2261"
"DC1888","DC2391"
"DC1988","DC2008"
"DC2009","DC1985"
"DC1823","DC1916"
"DC2219","DC1937"
"DC1900","DC1928"
"DC2139","DC1703"
"DC2057","DC2142"
"DC1655","DC2369"
"DC2131","DC2141"
"DC1997","DC2465"
"DC2065","DC2302"
"DC2374","DC1971"
"DC2328","DC2371"
"DC1984","DC2205"
"DC2055","DC2230"
"DC2215","DC2364"
"DC2160","DC2171"
"DC1940","DC2036"
"DC1913","DC2098"
"DC1923","DC1968"
"DC1959","DC2152"
"DC2285","DC2317"
